neo4j_id,nam_bat_dau,id,link,created_at,nam_thuc_hien,nguoi_tao,nam_ket_thuc,ten_de_tai,trang_thai,cap_de_tai,ma_so,tom_tat
24,2022,dt_24,,,2022,,2022,Xây dựng hệ thống thử nghiệm nhận dạng bệnh tôm dựa trên kỹ thuật thị giác máy tính,Hoàn thành,Chưa xác định,TR2022-13-03,
25,2022,dt_25,,,2022,,2022,Xây dựng công cụ hỗ trợ quá trình Tự đánh giá tại Trường Đại học Nha Trang,Hoàn thành,Chưa xác định,TR2022-13-04,
26,2021,dt_26,,,2021,,2021,Ứng dụng Item Response Theory thiết kế và đánh giá đề thi trắc nghiệm,Hoàn thành,Chưa xác định,TR2021-13-03,
27,2021,dt_27,,,2021,,2021,Xây dựng phần mềm hỗ trợ soạn thảo văn bản hành chính tại Trường Đại học Nha Trang,Hoàn thành,Chưa xác định,TR2021-13-04,
28,2020,dt_28,,,2020,,2020,Nghiên cứu nền tảng mô phỏng tấn công mạng tùy biến không dây di động trên OMNeT++ 5.6 (NTU-Attack),Hoàn thành,Chưa xác định,TR2020-13-03,
29,2020,dt_29,,,2020,,2020,"Xây dựng Chatbot thử nghiệm hỗ trợ, tư vấn tự động cho sinh viên trên trang tin tức Trường Đại học Nha Trang",Hoàn thành,"Đề tài, dự án NCKH cấp trường",TR2020-13-42,
30,2018,dt_30,,,2018,,2018,Xây dựng khóa học trực tuyến Hướng dẫn giảng viên triển khai giảng dạy bằng công cụ Elearning trong đào tạo,Hoàn thành,Chưa xác định,TR2018-13-16,
31,2018,dt_31,,,2018,,2018,Xây dựng phần mềm quản lý phòng máy thực hành tại Trường đại học Nha Trang.,Hoàn thành,Chưa xác định,TR2018-13-23,
32,2016,dt_32,,,2016,,2016,Nghiên cứu xây dựng công cụ tạo website tĩnh cho CBVC Trường Đại học Nha Trang,Hoàn thành,Chưa xác định,TR2016-13-06,
33,2016,dt_33,,,2016,,2016,Nghiên cứu và ứng dụng điều khiển máy tính bằng các cử chỉ tay sử dụng camera 3D,Hoàn thành,Chưa xác định,TR2016-13-07,
34,2015,dt_34,,,2015,,2015,Ứng dụng công nghệ GIS và công nghệ di động trên điện thoại thông minh hỗ trợ cho tàu cá hoạt động trên biển,Hoàn thành,Chưa xác định,TR2015-13-02,
35,2013,dt_35,,,2013,,2013,Xây dựng phần mềm quản lý nhân sự Trường Đại học Nha Trang,Hoàn thành,Chưa xác định,TR2013-13-11,
36,2010,dt_36,,,2010,,2010,Xác định điều kiện cần và đủ của đồ thị Hamilton tối đại,Hoàn thành,Chưa xác định,TR2010-13-08,
37,2010,dt_37,,,2010,,2010,Các tiêu chuẩn hội tụ của thuật toán hiệu chỉnh Tikhonov cho mô hình bài toán cân bằng,Hoàn thành,Chưa xác định,TR2010-13-09,
