id,ten_linh_vuc,neo4j_id
lv_122,INFORMATION SYSTEMS,122
lv_123,DATA SCIENCE,123
lv_157,MẠNG MÁY TÍNH VÀ ỨNG DỤNG,157
lv_175,TRÍ TUỆ NHÂN TẠO,175
lv_195,MANET,195
lv_202,HỌC MÁY,202
lv_215,APPLIED MACHINE LEARNING,215
lv_216,GRAPH NEURAL NETWORKS,216
lv_218,NATURAL LANGUAGE PROCESSING (NLP),218
lv_219,APPLIED MATHEMATICS,219
lv_220,CÁC HỆ THỐNG GỢI Ý,220
lv_221,VANET,221
lv_222,WSN,222
lv_223,PHÂN CỤM DỮ LIỆU KHÔNG GIAN ĐỊA LÝ,223
lv_224,LẬP TRÌNH DI ĐỘNG,224
lv_292,THIẾT KẾ VÀ CÀI ĐẶT MẶT,292
lv_294,ĐÁNH GIÁ HIỆU NĂNG MẠNG,294
lv_295,FANET,295
lv_296,IOT ROUTING AND SECURITY,296
lv_297,PHÂN TÍCH SỐ LIỆU,297
lv_298,SYSTEM ANALYSIS AND DESIGN,298
lv_299,BUSINESS INTELLIGENCE,299
lv_300,5G,300
lv_301,DATA MINING,301
lv_302,MACHINE LEARNING,302
lv_303,BIG DATA,303
lv_310,PHÁT TRIỂN WEB,310
lv_311,DI ĐỘNG,311
lv_314,NETWORK COMPUTER,314
lv_315,NETWORK SECURITY,315
lv_316,DATABASE,316
lv_317,XML AND SEMANTIC WEB,317
lv_318,TEXT MINING AND COMPUTATIONAL STATISTICS,318
lv_319,GIS,319
lv_330,PHÂN TÍCH THIẾT KẾ HỆ THỐNG,330
lv_331,KIỂM THỬ PHẦN MỀM,331
