start_id,end_id,rel_type,end_labels,start_labels
4,26,CHU_NHIEM,DeTaiNghienCuu,GiangVien
5,24,CHU_NHIEM,DeTaiNghienCuu,GiangVien
5,39,CHU_NHIEM,DeTaiNghienCuu,GiangVien
6,249,CHU_NHIEM,DeTaiNghienCuu,GiangVien
7,29,CHU_NHIEM,DeTaiNghienCuu,GiangVien
7,249,CHU_NHIEM,DeTaiNghienCuu,GiangVien
7,271,CHU_NHIEM,DeTaiNghienCuu,GiangVien
8,244,CHU_NHIEM,DeTaiNghienCuu,GiangVien
9,230,CHU_NHIEM,DeTaiNghienCuu,GiangVien
9,231,CHU_NHIEM,DeTaiNghienCuu,GiangVien
10,25,CHU_NHIEM,DeTaiNghienCuu,GiangVien
12,262,CHU_NHIEM,DeTaiNghienCuu,GiangVien
12,263,CHU_NHIEM,DeTaiNghienCuu,GiangVien
12,264,CHU_NHIEM,DeTaiNghienCuu,GiangVien
12,265,CHU_NHIEM,DeTaiNghienCuu,GiangVien
13,27,CHU_NHIEM,DeTaiNghienCuu,GiangVien
13,256,CHU_NHIEM,DeTaiNghienCuu,GiangVien
15,30,CHU_NHIEM,DeTaiNghienCuu,GiangVien
15,273,CHU_NHIEM,DeTaiNghienCuu,GiangVien
16,31,CHU_NHIEM,DeTaiNghienCuu,GiangVien
16,34,CHU_NHIEM,DeTaiNghienCuu,GiangVien
16,235,CHU_NHIEM,DeTaiNghienCuu,GiangVien
16,243,CHU_NHIEM,DeTaiNghienCuu,GiangVien
16,244,CHU_NHIEM,DeTaiNghienCuu,GiangVien
18,260,CHU_NHIEM,DeTaiNghienCuu,GiangVien
21,124,CHU_NHIEM,DeTaiNghienCuu,GiangVien
21,125,CHU_NHIEM,DeTaiNghienCuu,GiangVien
21,249,CHU_NHIEM,DeTaiNghienCuu,GiangVien
21,265,CHU_NHIEM,DeTaiNghienCuu,GiangVien
21,290,CHU_NHIEM,DeTaiNghienCuu,GiangVien
22,28,CHU_NHIEM,DeTaiNghienCuu,GiangVien
22,32,CHU_NHIEM,DeTaiNghienCuu,GiangVien
22,149,CHU_NHIEM,DeTaiNghienCuu,GiangVien
22,265,CHU_NHIEM,DeTaiNghienCuu,GiangVien
23,33,CHU_NHIEM,DeTaiNghienCuu,GiangVien
23,260,CHU_NHIEM,DeTaiNghienCuu,GiangVien
23,268,CHU_NHIEM,DeTaiNghienCuu,GiangVien
23,269,CHU_NHIEM,DeTaiNghienCuu,GiangVien
23,270,CHU_NHIEM,DeTaiNghienCuu,GiangVien
23,271,CHU_NHIEM,DeTaiNghienCuu,GiangVien
41,35,CHU_NHIEM,DeTaiNghienCuu,GiangVien
42,36,CHU_NHIEM,DeTaiNghienCuu,GiangVien
44,38,CHU_NHIEM,DeTaiNghienCuu,TacGiaNgoai
44,39,CHU_NHIEM,DeTaiNghienCuu,TacGiaNgoai
45,40,CHU_NHIEM,DeTaiNghienCuu,GiangVien
