start_id,end_id,rel_type,end_labels,start_labels
3,225,CONG_SU,CongTrinhNghienCuu,GiangVien
4,274,CONG_SU,CongTrinhNghienCuu,GiangVien
5,247,CONG_SU,CongTrinhNghienCuu,GiangVien
5,275,CONG_SU,CongTrinhNghienCuu,GiangVien
6,225,CONG_SU,CongTrinhNghienCuu,GiangVien
6,233,CONG_SU,CongTrinhNghienCuu,GiangVien
6,247,CONG_SU,CongTrinhNghienCuu,GiangVien
7,247,CONG_SU,CongTrinhNghienCuu,GiangVien
8,145,CONG_SU,CongTrinhNghienCuu,GiangVien
8,186,CONG_SU,CongTrinhNghienCuu,GiangVien
10,225,CONG_SU,CongTrinhNghienCuu,GiangVien
10,232,CONG_SU,CongTrinhNghienCuu,GiangVien
10,233,CONG_SU,CongTrinhNghienCuu,GiangVien
10,234,CONG_SU,CongTrinhNghienCuu,GiangVien
12,133,CONG_SU,CongTrinhNghienCuu,GiangVien
12,139,CONG_SU,CongTrinhNghienCuu,GiangVien
13,232,CONG_SU,CongTrinhNghienCuu,GiangVien
15,308,CONG_SU,CongTrinhNghienCuu,GiangVien
16,69,CONG_SU,CongTrinhNghienCuu,GiangVien
16,232,CONG_SU,CongTrinhNghienCuu,GiangVien
18,258,CONG_SU,CongTrinhNghienCuu,GiangVien
18,259,CONG_SU,CongTrinhNghienCuu,GiangVien
23,233,CONG_SU,CongTrinhNghienCuu,GiangVien
23,258,CONG_SU,CongTrinhNghienCuu,GiangVien
23,259,CONG_SU,CongTrinhNghienCuu,GiangVien
45,116,CONG_SU,CongTrinhNghienCuu,GiangVien
