start_id,end_id,rel_type,end_labels,start_labels
4,122,NGHIEN_CUU,LinhVucNghienCuu,GiangVien
4,123,NGHIEN_CUU,LinhVucNghienCuu,GiangVien
5,123,NGHIEN_CUU,LinhVucNghienCuu,GiangVien
5,215,NGHIEN_CUU,LinhVucNghienCuu,GiangVien
5,216,NGHIEN_CUU,LinhVucNghienCuu,GiangVien
10,218,NGHIEN_CUU,LinhVucNghienCuu,GiangVien
10,219,NGHIEN_CUU,LinhVucNghienCuu,GiangVien
12,297,NGHIEN_CUU,LinhVucNghienCuu,GiangVien
12,301,NGHIEN_CUU,LinhVucNghienCuu,GiangVien
12,302,NGHIEN_CUU,LinhVucNghienCuu,GiangVien
13,123,NGHIEN_CUU,LinhVucNghienCuu,GiangVien
13,298,NGHIEN_CUU,LinhVucNghienCuu,GiangVien
13,299,NGHIEN_CUU,LinhVucNghienCuu,GiangVien
13,301,NGHIEN_CUU,LinhVucNghienCuu,GiangVien
13,302,NGHIEN_CUU,LinhVucNghienCuu,GiangVien
13,303,NGHIEN_CUU,LinhVucNghienCuu,GiangVien
15,223,NGHIEN_CUU,LinhVucNghienCuu,GiangVien
16,316,NGHIEN_CUU,LinhVucNghienCuu,GiangVien
16,317,NGHIEN_CUU,LinhVucNghienCuu,GiangVien
16,318,NGHIEN_CUU,LinhVucNghienCuu,GiangVien
16,319,NGHIEN_CUU,LinhVucNghienCuu,GiangVien
17,224,NGHIEN_CUU,LinhVucNghienCuu,GiangVien
17,302,NGHIEN_CUU,LinhVucNghienCuu,GiangVien
19,157,NGHIEN_CUU,LinhVucNghienCuu,GiangVien
19,292,NGHIEN_CUU,LinhVucNghienCuu,GiangVien
19,294,NGHIEN_CUU,LinhVucNghienCuu,GiangVien
21,314,NGHIEN_CUU,LinhVucNghienCuu,GiangVien
21,315,NGHIEN_CUU,LinhVucNghienCuu,GiangVien
22,195,NGHIEN_CUU,LinhVucNghienCuu,GiangVien
22,221,NGHIEN_CUU,LinhVucNghienCuu,GiangVien
22,222,NGHIEN_CUU,LinhVucNghienCuu,GiangVien
22,295,NGHIEN_CUU,LinhVucNghienCuu,GiangVien
22,296,NGHIEN_CUU,LinhVucNghienCuu,GiangVien
22,300,NGHIEN_CUU,LinhVucNghienCuu,GiangVien
322,330,NGHIEN_CUU,LinhVucNghienCuu,GiangVien
322,331,NGHIEN_CUU,LinhVucNghienCuu,GiangVien
335,175,NGHIEN_CUU,LinhVucNghienCuu,GiangVien
335,202,NGHIEN_CUU,LinhVucNghienCuu,GiangVien
336,310,NGHIEN_CUU,LinhVucNghienCuu,GiangVien
336,311,NGHIEN_CUU,LinhVucNghienCuu,GiangVien
