start_id,end_id,rel_type,end_labels,start_labels
3,29,THAM_GIA,DeTaiNghienCuu,GiangVien
4,24,THAM_GIA,DeTaiNghienCuu,GiangVien
4,273,THAM_GIA,DeTaiNghienCuu,GiangVien
5,26,THAM_GIA,DeTaiNghienCuu,GiangVien
6,25,THAM_GIA,DeTaiNghienCuu,GiangVien
6,26,THAM_GIA,DeTaiNghienCuu,GiangVien
6,29,THAM_GIA,DeTaiNghienCuu,GiangVien
7,25,THAM_GIA,DeTaiNghienCuu,GiangVien
7,26,THAM_GIA,DeTaiNghienCuu,GiangVien
8,235,THAM_GIA,DeTaiNghienCuu,GiangVien
8,243,THAM_GIA,DeTaiNghienCuu,GiangVien
10,29,THAM_GIA,DeTaiNghienCuu,GiangVien
10,235,THAM_GIA,DeTaiNghienCuu,GiangVien
13,235,THAM_GIA,DeTaiNghienCuu,GiangVien
13,243,THAM_GIA,DeTaiNghienCuu,GiangVien
14,243,THAM_GIA,DeTaiNghienCuu,GiangVien
15,243,THAM_GIA,DeTaiNghienCuu,GiangVien
16,27,THAM_GIA,DeTaiNghienCuu,GiangVien
17,243,THAM_GIA,DeTaiNghienCuu,GiangVien
21,243,THAM_GIA,DeTaiNghienCuu,GiangVien
22,150,THAM_GIA,DeTaiNghienCuu,GiangVien
22,273,THAM_GIA,DeTaiNghienCuu,GiangVien
41,273,THAM_GIA,DeTaiNghienCuu,GiangVien
158,243,THAM_GIA,DeTaiNghienCuu,GiangVien
