start_id,end_id,rel_type,end_labels,start_labels
3,0,THUOC_BO_MON,BoMon,GiangVien
4,0,THUOC_BO_MON,BoMon,GiangVien
5,0,THUOC_BO_MON,BoMon,GiangVien
6,0,THUOC_BO_MON,BoMon,GiangVien
7,0,THUOC_BO_MON,BoMon,GiangVien
8,0,THUOC_BO_MON,BoMon,GiangVien
9,0,THUOC_BO_MON,BoMon,GiangVien
10,0,THUOC_BO_MON,BoMon,GiangVien
12,1,THUOC_BO_MON,BoMon,GiangVien
13,1,THUOC_BO_MON,BoMon,GiangVien
14,1,THUOC_BO_MON,BoMon,GiangVien
15,1,THUOC_BO_MON,BoMon,GiangVien
16,1,THUOC_BO_MON,BoMon,GiangVien
17,2,THUOC_BO_MON,BoMon,GiangVien
18,2,THUOC_BO_MON,BoMon,GiangVien
19,2,THUOC_BO_MON,BoMon,GiangVien
20,2,THUOC_BO_MON,BoMon,GiangVien
21,2,THUOC_BO_MON,BoMon,GiangVien
22,2,THUOC_BO_MON,BoMon,GiangVien
23,2,THUOC_BO_MON,BoMon,GiangVien
41,0,THUOC_BO_MON,BoMon,GiangVien
42,2,THUOC_BO_MON,BoMon,GiangVien
45,1,THUOC_BO_MON,BoMon,GiangVien
67,0,THUOC_BO_MON,BoMon,GiangVien
322,323,THUOC_BO_MON,BoMon,GiangVien
335,333,THUOC_BO_MON,BoMon,GiangVien
336,323,THUOC_BO_MON,BoMon,GiangVien
