UC 1: Đặc tả chức năng Đăng nhập | Actor: Giảng viên, Quản trị viên
UC 2: Đặc tả chức năng Quên mật khẩu | Actor: Giảng viên, Quản trị viên
UC 3: Đặc tả chức năng Đăng xuất | Actor: Giảng viên, Quản trị viên
UC 4: Đặc tả chức năng Tra cứu giảng viên | Actor: Người dùng phổ thông (bao gồm: sinh viên, học viên, khách vãng lai)
UC 5: Đặc tả chức năng Xem chi tiết giảng viên | Actor: Người dùng phổ thông (bao gồm: sinh viên, học viên, khách vãng lai)
UC 6: Đặc tả chức năng Tra cứu công trình khoa học | Actor: Người dùng phổ thông (bao gồm: sinh viên, học viên, khách vãng lai)
UC 7: Đặc tả chức năng Xem chi tiết công trình | Actor: Người dùng phổ thông (bao gồm: sinh viên, học viên, khách vãng lai)
UC 8: Đặc tả chức năng Tra cứu đề tài nghiên cứu | Actor: Người dùng phổ thông (bao gồm: sinh viên, học viên, khách vãng lai)
UC 9: Đặc tả chức năng Xem chi tiết đề tài | Actor: Người dùng phổ thông (bao gồm: sinh viên, học viên, khách vãng lai)
UC 10: Đặc tả chức năng Hỏi đáp qua Chatbot GraphRAG | Actor: Người dùng phổ thông (bao gồm: sinh viên, học viên, khách vãng lai)
UC 11: Đặc tả chức năng Xem bản đồ tri thức tương tác | Actor: Người dùng phổ thông (bao gồm: sinh viên, học viên, khách vãng lai)
UC 12: Đặc tả chức năng Dịch thuật nội dung | Actor: Người dùng phổ thông (bao gồm: sinh viên, học viên, khách vãng lai)
UC 13: Đặc tả chức năng Xem thống kê hệ thống | Actor: Người dùng phổ thông (bao gồm: sinh viên, học viên, khách vãng lai)
UC 14: Đặc tả chức năng Xem mạng lưới hợp tác | Actor: Người dùng phổ thông (bao gồm: sinh viên, học viên, khách vãng lai)
UC 15: Đặc tả chức năng Cập nhật tài khoản lý lịch cá nhân (Giảng viên) | Actor: Giảng viên
UC 16: Đặc tả chức năng Đổi mật khẩu (Giảng viên) | Actor: Giảng viên
UC 17: Đặc tả chức năng Xem danh sách công trình cá nhân (Giảng viên) | Actor: Giảng viên
UC 18: Đặc tả chức năng Yêu cầu thêm công trình cá nhân (Giảng viên) | Actor: Giảng viên
UC 19: Đặc tả chức năng Yêu cầu sửa công trình cá nhân (Giảng viên) | Actor: Giảng viên
UC 20: Đặc tả chức năng Yêu cầu xóa công trình cá nhân (Giảng viên) | Actor: Giảng viên
UC 21: Đặc tả chức năng Xem danh sách đề tài cá nhân (Giảng viên) | Actor: Giảng viên
UC 22: Đặc tả chức năng Yêu cầu thêm đề tài cá nhân (Giảng viên) | Actor: Giảng viên
UC 23: Đặc tả chức năng Yêu cầu sửa đề tài cá nhân (Giảng viên) | Actor: Giảng viên
UC 24: Đặc tả chức năng Yêu cầu xóa đề tài cá nhân (Giảng viên) | Actor: Giảng viên
UC 25: Đặc tả chức năng Xem danh sách thùng rác cá nhân (Giảng viên) | Actor: Giảng viên
UC 26: Đặc tả chức năng Yêu cầu khôi phục dữ liệu từ thùng rác (Giảng viên) | Actor: Giảng viên
UC 27: Đặc tả chức năng Gợi ý cộng sự tiềm năng (Giảng viên) | Actor: Giảng viên
UC 28: Đặc tả chức năng Xem dòng thời gian khoa học (Giảng viên) | Actor: Giảng viên
UC 29: Đặc tả chức năng Quản lý tài khoản cá nhân (Quản trị viên) | Actor: Quản trị viên
UC 30: Đặc tả chức năng Xem danh sách tài khoản người dùng (Quản trị viên) | Actor: Quản trị viên
UC 31: Đặc tả chức năng Thêm mới tài khoản người dùng (Quản trị viên) | Actor: Quản trị viên
UC 32: Đặc tả chức năng Sửa thông tin/Khóa tài khoản người dùng (Quản trị viên) | Actor: Quản trị viên
UC 33: Đặc tả chức năng Xóa tài khoản người dùng (Quản trị viên) | Actor: Quản trị viên
UC 34: Đặc tả chức năng Xem danh sách giảng viên (Quản trị viên) | Actor: Quản trị viên
UC 35: Đặc tả chức năng Thêm mới giảng viên (Quản trị viên) | Actor: Quản trị viên
UC 36: Đặc tả chức năng Sửa thông tin giảng viên (Quản trị viên) | Actor: Quản trị viên
UC 37: Đặc tả chức năng Xóa giảng viên (Quản trị viên) | Actor: Quản trị viên
UC 38: Đặc tả chức năng Phê duyệt yêu cầu thay đổi lý lịch (Quản trị viên) | Actor: Quản trị viên
UC 39: Đặc tả chức năng Xem danh sách bộ môn (Quản trị viên) | Actor: Quản trị viên
UC 40: Đặc tả chức năng Thêm mới bộ môn (Quản trị viên) | Actor: Quản trị viên
UC 41: Đặc tả chức năng Sửa thông tin bộ môn (Quản trị viên) | Actor: Quản trị viên
UC 42: Đặc tả chức năng Xóa bộ môn (Quản trị viên) | Actor: Quản trị viên
UC 43: Đặc tả chức năng Xem danh sách tác giả ngoài (Quản trị viên) | Actor: Quản trị viên
UC 44: Đặc tả chức năng Thêm mới tác giả ngoài (Quản trị viên) | Actor: Quản trị viên
UC 45: Đặc tả chức năng Sửa thông tin tác giả ngoài (Quản trị viên) | Actor: Quản trị viên
UC 46: Đặc tả chức năng Xóa tác giả ngoài (Quản trị viên) | Actor: Quản trị viên
UC 47: Đặc tả chức năng Xem danh sách công trình khoa học (Quản trị viên) | Actor: Quản trị viên
UC 48: Đặc tả chức năng Thêm mới công trình khoa học (Quản trị viên) | Actor: Quản trị viên
UC 49: Đặc tả chức năng Sửa thông tin công trình khoa học (Quản trị viên) | Actor: Quản trị viên
UC 50: Đặc tả chức năng Xóa công trình khoa học (Quản trị viên) | Actor: Quản trị viên
UC 51: Đặc tả chức năng Phê duyệt yêu cầu công trình từ giảng viên (Quản trị viên) | Actor: Quản trị viên
UC 52: Đặc tả chức năng Xem danh sách đề tài nghiên cứu (Quản trị viên) | Actor: Quản trị viên
UC 53: Đặc tả chức năng Thêm mới đề tài nghiên cứu (Quản trị viên) | Actor: Quản trị viên
UC 54: Đặc tả chức năng Sửa thông tin đề tài nghiên cứu (Quản trị viên) | Actor: Quản trị viên
UC 55: Đặc tả chức năng Xóa đề tài nghiên cứu (Quản trị viên) | Actor: Quản trị viên
UC 56: Đặc tả chức năng Phê duyệt yêu cầu đề tài từ giảng viên (Quản trị viên) | Actor: Quản trị viên
UC 57: Đặc tả chức năng Xem danh sách lĩnh vực nghiên cứu (Quản trị viên) | Actor: Quản trị viên
UC 58: Đặc tả chức năng Thêm mới lĩnh vực nghiên cứu (Quản trị viên) | Actor: Quản trị viên
UC 59: Đặc tả chức năng Sửa lĩnh vực nghiên cứu (Quản trị viên) | Actor: Quản trị viên
UC 60: Đặc tả chức năng Xóa lĩnh vực nghiên cứu (Quản trị viên) | Actor: Quản trị viên
UC 61: Đặc tả chức năng Xem danh sách thùng rác hệ thống (Quản trị viên) | Actor: Quản trị viên
UC 62: Đặc tả chức năng Khôi phục thực thể từ thùng rác (Quản trị viên) | Actor: Quản trị viên
UC 63: Đặc tả chức năng Xóa vĩnh viễn thực thể khỏi hệ thống (Quản trị viên) | Actor: Quản trị viên
UC 64: Đặc tả chức năng Nhập dữ liệu từ Excel (Quản trị viên) | Actor: Quản trị viên
UC 65: Đặc tả chức năng Xuất dữ liệu ra CSV (Quản trị viên) | Actor: Quản trị viên
UC 66: Đặc tả chức năng Xem thống kê báo cáo (Quản trị viên) | Actor: Quản trị viên
